Winter1jan;Winter2jan;Winter3Jan;Winter4Jan;Winter5Dec;Winter6jan;Winter7jan;Winter8Dec;Winter9Dec;Winter10Dec;Summer1Jul;Summer2Jul;Summer3Jul;Summer4Jul;Summer5Ag;Summer6Jul;Summer7Jul;Summer8Jul;Summer9Jul;Summer10Ag
-199,666666666667;-123,666666666667;-313,666666666667;-123,666666666667;-196;-49;-49;-49;-49;-49;-151,223742388;-159;-144,333333333333;-100,333333333333;-63,4275787553333;-41;-91,6666666666667;-41;-205,666666666667;-41
-196;-196;-196;-196;-82,3333333333333;-49;-49;-193;-149;-105;-56,094245422;-49;-93;-137;-159;-232;-92,6666666666667;-118;-92,6666666666667;-92,6666666666667
-51,3333333333333;-241,333333333333;-51,3333333333333;-127,333333333333;-41;-163,666666666667;-119,666666666667;-199,333333333333;-243,333333333333;-272,666666666667;-49;-49;-49;-49;-71;-335,333333333333;-196;-386;-196;-297,333333333333
-41;-129,666666666667;-41;-231;-41;-228,666666666667;-272,666666666667;-49;-49;-63,6666666666667;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-82,3333333333333;-82,3333333333333;-145,666666666667;-82,3333333333333;-259,666666666667
-142,333333333333;-41;-41;-53,6666666666667;-231;-49;-49;-49;-49;-49;-184,666666666667;-162,666666666667;-162,666666666667;-162,666666666667;-162,666666666667;-41;-167,666666666667;-41;-53,6666666666667;-41
-218,333333333333;-41;-218,333333333333;-41;-243,333333333333;-49;-49;-49;-49;-49;-159;-137;-93;-49;-49;-41;-193;-41;-231;-41
-185,666666666667;-185,666666666667;-287;-185,666666666667;-175,333333333333;-49;-49;-100,333333333333;-56,3333333333333;-49;-56,3333333333333;-100,333333333333;-144,333333333333;-159;-115;-79;-41;-41;-117;-41
-144,333333333333;-233;-144,333333333333;-144,333333333333;-41;-71;-49;-178,333333333333;-200,333333333333;-163,666666666667;-49;-49;-49;-78,3333333333333;-122,333333333333;-344,666666666667;-154,666666666667;-268,666666666667;-154,666666666667;-154,666666666667
-41;-231;-41;-205,666666666667;-41;-200,333333333333;-178,333333333333;-162,666666666667;-184,666666666667;-228,666666666667;-49;-49;-49;-49;-49;-226;-175,333333333333;-340;-175,333333333333;-365,333333333333
-41;-41;-41;-155;-129,666666666667;-170;-214;-49;-49;-49;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-90,3333333333333;-41;-66,3333333333333;-41;-41;-129,666666666667
-231;-41;-117;-41;-251,666666666667;-49;-49;-49;-49;-49;-243,333333333333;-199,333333333333;-162,666666666667;-162,666666666667;-162,666666666667;-41;-231;-41;-142,333333333333;-41
-181,333333333333;-92,6666666666667;-282,666666666667;-92,6666666666667;-196;-49;-49;-83,6666666666667;-65;-59,6666666666667;-107,666666666667;-151,666666666667;-151,666666666667;-107,666666666667;-63,6666666666667;-41;-104,333333333333;-41;-218,333333333333;-41
-196;-196;-208,666666666667;-196;-113,333333333333;-49;-49;-244,333333333333;-163;-111;-49;-49;-85,6666666666667;-129,666666666667;-159;-188,333333333333;-61,6666666666667;-74,3333333333333;-61,6666666666667;-61,6666666666667
-82,3333333333333;-259,666666666667;-82,3333333333333;-145,666666666667;-41;-129,666666666667;-85,6666666666667;-239,666666666667;-294,333333333333;-261,666666666667;-51,6666666666667;-49;-105;-59,6666666666667;-63,6666666666667;-348;-196;-386;-196;-284,666666666667
-41;-142,333333333333;-41;-231;-41;-149;-193;-312;-362,666666666667;-327,333333333333;-126,333333333333;-70,3333333333333;-209;-659,4;-488,8;-113,333333333333;-113,333333333333;-189,333333333333;-113,333333333333;-303,333333333333
-129,666666666667;-41;-41;-66,3333333333333;-218,333333333333;-162,666666666667;-162,666666666667;-217;-249;-238,333333333333;-226,333333333333;-170,333333333333;-650,133333333333;-237;-149;-41;-155;-41;-41;-41
-231;-41;-205,666666666667;-41;-225;-49;-49;-256,8;-249;-249;-392,666666666667;-338;-374;-689,8;-375,933333333333;-41;-205,666666666667;-41;-231;-41
-154,666666666667;-154,666666666667;-268,666666666667;-154,666666666667;-196;-49;-49;-320,666666666667;-263,666666666667;-249;-190,333333333333;-173;-297;-276,333333333333;-634,133333333333;-66,3333333333333;-41;-41;-129,666666666667;-41
-175,333333333333;-251,333333333333;-175,333333333333;-175,333333333333;-51,3333333333333;-78,3333333333333;-49;-464,666666666667;-359;-329,666666666667;-172,466666666667;-123,666666666667;-230,333333333333;-137,666666666667;-205,666666666667;-313,666666666667;-123,666666666667;-225;-123,666666666667;-123,666666666667
-41;-231;-41;-193;-41;-159;-144,333333333333;-425,333333333333;-305;-349;-160,666666666667;-95,9333333333333;-249;-59,4;-99,6666666666667;-259,333333333333;-196;-373,333333333333;-196;-373,333333333333
