Winter1jan,Winter2jan,Winter3Jan,Winter4Jan,Winter5Dec,Winter6jan,Winter7jan,Winter8Dec,Winter9Dec,Winter10Dec,Summer1Jul,Summer2Jul,Summer3Jul,Summer4Jul,Summer5Ag,Summer6Jul,Summer7Jul,Summer8Jul,Summer9Jul,Summer10Ag
-539.709273,-729.709273,-539.709273,-563.9452377,-216.0188641,-650.0426064,-2565.911626,-1549.37594,-649.0426064,-834.6057932,-814.1759398,-1868.709273,-933.6089785,-495.3759397,-952.919418,-422.3131094,-328.1570757,-616.9680256,-413.309273,-434.8188641
-373.109273,-456.1341819,-938.4426064,-505.0661074,-206.2188641,-649.0426064,-1456.042606,-668.6426064,-535.3759397,-505.4426064,-510.709273,-576.709273,-970.7353522,-459.2426064,-994.2527513,-239.3759397,-207.8237424,-322.6883941,-360.3759397,-392.2188641
-513.0699438,-373.8237424,-405.3759397,-405.3759397,-293.7771061,-527.2426064,-547.509273,-932.0229418,-935.1759398,-535.3759397,-759.0426064,-664.1051953,-1105.372751,-530.3759397,-1154.906085,-94.70927306,-201.7021596,-76.15707571,-238.6778579,-82.88553069
-619.1936263,-373.0354929,-564.8655002,-405.3759397,-117,-486.9759397,-548.3759397,-575.4346923,-451.7404469,-535.3759397,-550.0426064,-582.2188641,-1042.586085,-530.0426064,-2129.19833,-71.75506079,-180.3333333,-65.82374237,-354.1034798,-53.62087894
-404.7466667,-382.6666667,-459.3043283,-426.0426064,-185.6666667,-1062.207808,-548.3759397,-630.709273,-944.4346923,-601.3759397,-535.3759397,-525.9169459,-2059.452751,-576.9759397,-2151.19833,-103.490409,-41,-56.52566056,-168.8666667,-41
-508.9333333,-618.3333333,-557.2229418,-530.4046849,-144.3333333,-1909.805793,-629.0426064,-1109.77594,-508.4426064,-650.0426064,-535.3759397,-535.3759397,-2379.319418,-648.3759397,-2558.651663,-238.0942454,-41,-167.6666667,-41,-53.66666667
-313.3333333,-611.6666667,-477.709273,-522.9333333,-41,-1324.709273,-571.1759397,-649.0426064,-600.2426064,-583.9759397,-535.3759397,-535.3759397,-1339.719418,-534.8188641,-1618.286765,-223.6666667,-185.6666667,-337.6666667,-185.6666667,-375.6666667
-253.6666667,-378.8278386,-411.4426064,-512.896499,-142.3333333,-649.0426064,-474.4356467,-535.3759397,-1053.718248,-494.709273,-650.0426064,-606.0426064,-972.8388321,-577.8855307,-981.2527513,-144.3333333,-182.3333333,-144.3333333,-144.3333333,-220.3333333
-376.9542123,-326.8855307,-440.3759397,-307.1570757,-218.3333333,-535.3759397,-398.6904091,-530.6464428,-503.8237424,-1064.501359,-1223.909273,-742.2147678,-967.3225956,-677.1521974,-1060.919418,-41,-231,-41,-155,-41
-148.5521974,-193.5521974,-365.2446213,-173.8237424,-92.66666667,-460.4111912,-1036.890409,-1906.116686,-553.8196646,-549.2543569,-447.6150277,-503.8237424,-457.5876902,-488.8661074,-851.3617337,-41,-91.66666667,-41,-205.6666667,-41
-155.218864,-260.0855307,-139.0314151,-256.4904091,-196,-487.709273,-531.5805767,-1992.890409,-564.5333333,-645.3759397,-531.1689801,-503.0354929,-1474.991527,-420.4426064,-390.8356467,-180.3333333,-41,-66.33333333,-41,-41
-227.5521974,-417.5521974,-209,-404.8237424,-82.33333333,-1011.339127,-602,-558.1570757,-395.2,-551.0426064,-445.909273,-451.911288,-814.1759398,-458.5359397,-292.3759397,-232,-92.66666667,-282.6666667,-92.66666667,-194
-82.88553069,-146.3104395,-52.2,-325.7570757,-41,-424.1570757,-1288.651329,-1082.223742,-362.6666667,-528.0426064,-435.3759397,-947.4426064,-414.3759397,-480.6159397,-355.3286964,-196,-196,-259.3333333,-196,-373.3333333
-167.5750912,-41,-41,-56.81966463,-231,-528.7570757,-1748.102654,-414.8904091,-249,-399.651581,-564.709273,-527.4426064,-605.9023134,-455.709273,-443.8855307,-82.33333333,-209,-82.33333333,-95,-82.33333333
-218.3333333,-41,-218.3333333,-41,-129.6666667,-503.8237424,-1521.36932,-472.1256606,-258.6980818,-912.737411,-515.8778579,-457.3759397,-615.2426064,-637.2543569,-573.8049448,-41,-193,-41,-231,-41
-41,-41,-142.3333333,-41,-154.6666667,-477.0237424,-1391.435987,-911.244898,-370.8237424,-354.8666667,-392.3411415,-279.7550608,-291.8385287,-431.8855307,-444.3333333,-79,-41,-41,-117,-41
-185.6666667,-274.3333333,-185.6666667,-185.6666667,-175.3333333,-613.8237424,-951.8169395,-1501.612245,-282.8237424,-329.7243588,-381.8237424,-260.8237424,-412.9521974,-802.3521973,-314.0666667,-231,-41,-155,-41,-41
-144.3333333,-334.3333333,-144.3333333,-309,-41,-444.4904091,-235.2431657,-1559.773417,-302.1570757,-321.8855307,-381.8237424,-250.576499,-415.5521974,-535.818864,-249,-205.3333333,-154.6666667,-319.3333333,-154.6666667,-344.6666667
-41,-41,-41,-155,-129.6666667,-345.1570757,-90.33333333,-1589.897775,-372.9139101,-394.2188641,-462.4904091,-429.8049448,-415.5521974,-373.1034798,-249,-175.3333333,-200.6666667,-175.3333333,-175.3333333,-264
-231,-41,-117,-41,-231,-406.4549162,-162.6666667,-730.0229456,-249,-290.0111912,-457.6237424,-545.5521974,-540.620879,-405.9333333,-305,-41,-231,-41,-142.3333333,-41
-129.6666667,-41,-231,-41,-61.66666667,-292,-49,-584.7521974,-315,-314.3759397,-363.4549162,-515.2188641,-701,-472.7820509,-472.6666667,-41,-104.3333333,-41,-218.3333333,-41
-92.66666667,-92.66666667,-105.3333333,-92.66666667,-196,-250.6666667,-85.66666667,-552.8855307,-322.3333333,-379.2376617,-249,-668.0855307,-382.2666667,-280.5521974,-263.6666667,-167.6666667,-41,-53.66666667,-41,-41
-196,-373.3333333,-196,-259.3333333,-113.3333333,-107.6666667,-151.6666667,-519.3452377,-249,-268.1570757,-249,-502.5521974,-249,-280.5521974,-249,-213.6666667,-61.66666667,-251.6666667,-61.66666667,-150.3333333
-82.33333333,-183.6666667,-82.33333333,-272.3333333,-41,-49,-49,-533.3333333,-290.3333333,-302.1570757,-278.3333333,-270.0347983,-249,-280.5521974,-249,-196,-196,-272,-196,-386
